iter	Passed	Remaining
0	144	144812
1	147	73487
2	150	50026
3	153	38152
4	155	30859
5	157	26130
6	159	22673
7	161	20017
8	166	18304
9	168	16656
10	170	15293
11	171	14134
12	173	13147
13	174	12302
14	176	11578
15	180	11122
16	182	10546
17	183	10035
18	185	9578
19	187	9165
20	188	8791
21	190	8455
22	195	8304
23	197	8036
24	199	7797
25	202	7580
26	203	7349
27	205	7138
28	210	7050
29	212	6864
30	213	6683
31	215	6514
32	216	6354
33	218	6205
34	219	6064
35	225	6039
36	227	5919
37	229	5809
38	231	5694
39	232	5590
40	234	5489
41	239	5459
42	241	5364
43	242	5275
44	244	5189
45	246	5104
46	247	5024
47	249	4946
48	254	4941
49	256	4875
50	258	4818
51	260	4748
52	262	4682
53	263	4619
54	268	4618
55	270	4561
56	272	4504
57	273	4448
58	275	4393
59	278	4360
60	283	4365
61	286	4330
62	288	4287
63	292	4280
64	294	4231
65	296	4195
66	299	4170
67	300	4125
68	302	4081
69	303	4038
70	305	3996
71	307	3956
72	308	3919
73	313	3918
74	315	3886
75	316	3851
76	318	3816
77	319	3782
78	321	3747
79	322	3714
80	324	3684
81	326	3656
82	327	3618
83	329	3587
84	330	3559
85	332	3534
86	334	3507
87	336	3483
88	341	3491
89	342	3466
90	344	3441
91	346	3418
92	347	3392
93	349	3367
94	350	3342
95	354	3340
96	356	3320
97	358	3296
98	359	3275
99	361	3253
100	362	3230
101	364	3209
102	366	3187
103	370	3191
104	372	3175
105	374	3162
106	377	3149
107	379	3132
108	380	3112
109	382	3093
110	386	3092
111	387	3073
112	389	3054
113	390	3035
114	392	3017
115	393	3000
116	395	2981
117	396	2964
118	401	2972
119	403	2957
120	404	2941
121	406	2922
122	407	2906
123	409	2890
124	410	2874
125	412	2863
126	415	2857
127	418	2847
128	420	2840
129	422	2828
130	424	2818
131	430	2832
132	433	2823
133	434	2810
134	436	2797
135	438	2783
136	439	2769
137	441	2756
138	445	2761
139	447	2749
140	449	2736
141	450	2720
142	451	2707
143	453	2695
144	454	2682
145	456	2669
146	461	2676
147	463	2665
148	464	2654
149	466	2645
150	468	2636
151	470	2624
152	471	2612
153	475	2614
154	477	2603
155	479	2591
156	480	2579
157	481	2568
158	483	2557
159	485	2546
160	486	2532
161	490	2536
162	492	2528
163	494	2518
164	495	2507
165	497	2498
166	498	2488
167	500	2479
168	505	2485
169	507	2476
170	508	2466
171	510	2456
172	511	2446
173	513	2436
174	514	2426
175	516	2417
176	521	2425
177	523	2417
178	525	2408
179	526	2399
180	528	2389
181	529	2381
182	531	2372
183	535	2374
184	536	2365
185	538	2357
186	540	2348
187	541	2339
188	543	2330
189	544	2322
190	546	2314
191	551	2322
192	553	2314
193	555	2307
194	557	2302
195	559	2294
196	561	2287
197	566	2295
198	568	2287
199	570	2280
200	572	2275
201	573	2267
202	575	2260
203	577	2252
204	582	2258
205	584	2251
206	585	2243
207	587	2235
208	588	2228
209	590	2220
210	591	2213
211	593	2207
212	596	2202
213	597	2194
214	599	2187
215	600	2179
216	602	2173
217	603	2165
218	605	2158
219	606	2151
220	612	2158
221	614	2153
222	616	2146
223	617	2140
224	619	2134
225	621	2128
226	625	2130
227	627	2124
228	628	2117
229	630	2111
230	632	2104
231	633	2097
232	635	2090
233	636	2084
234	641	2088
235	643	2082
236	645	2076
237	647	2072
238	648	2066
239	650	2059
240	651	2053
241	655	2053
242	657	2047
243	658	2041
244	660	2035
245	661	2028
246	663	2022
247	664	2016
248	666	2010
249	670	2012
250	672	2007
251	674	2001
252	675	1995
253	677	1989
254	678	1983
255	680	1977
256	681	1971
257	685	1971
258	687	1966
259	688	1960
260	690	1954
261	691	1948
262	693	1943
263	694	1937
264	696	1931
265	701	1935
266	703	1932
267	706	1930
268	708	1925
269	710	1920
270	712	1916
271	717	1920
272	719	1915
273	720	1910
274	722	1905
275	724	1899
276	725	1894
277	727	1889
278	732	1893
279	734	1888
280	736	1883
281	738	1879
282	740	1874
283	741	1869
284	743	1864
285	745	1861
286	747	1856
287	748	1851
288	750	1846
289	751	1841
290	753	1835
291	754	1830
292	760	1835
293	762	1831
294	764	1826
295	766	1823
296	768	1818
297	769	1813
298	771	1809
299	774	1807
300	776	1802
301	777	1797
302	779	1792
303	780	1787
304	782	1782
305	783	1777
306	785	1772
307	791	1779
308	793	1774
309	795	1769
310	796	1765
311	798	1760
312	799	1755
313	801	1750
314	805	1751
315	807	1747
316	808	1742
317	810	1738
318	812	1733
319	813	1729
320	815	1724
321	820	1726
322	822	1723
323	823	1719
324	826	1715
325	827	1711
326	829	1706
327	830	1702
328	835	1703
329	836	1698
330	838	1693
331	839	1689
332	841	1684
333	843	1681
334	845	1678
335	851	1682
336	853	1679
337	856	1676
338	859	1675
339	861	1672
340	866	1673
341	867	1669
342	869	1665
343	871	1661
344	873	1657
345	874	1653
346	876	1649
347	886	1660
348	888	1657
349	890	1653
350	892	1650
351	894	1647
352	897	1644
353	899	1641
354	901	1637
355	903	1634
356	915	1648
357	917	1645
358	919	1641
359	924	1643
360	926	1639
361	928	1635
362	929	1631
363	931	1627
364	933	1623
365	934	1619
366	940	1622
367	943	1619
368	945	1616
369	946	1612
370	948	1608
371	950	1604
372	955	1605
373	957	1601
374	958	1598
375	960	1593
376	961	1589
377	963	1585
378	965	1581
379	970	1584
380	972	1580
381	974	1576
382	976	1572
383	977	1568
384	979	1564
385	981	1560
386	984	1559
387	986	1556
388	988	1552
389	990	1549
390	992	1545
391	993	1541
392	995	1537
393	998	1536
394	1004	1537
395	1006	1534
396	1012	1537
397	1014	1534
398	1016	1531
399	1019	1528
400	1020	1525
401	1022	1521
402	1026	1520
403	1027	1516
404	1029	1512
405	1031	1508
406	1032	1504
407	1034	1501
408	1037	1499
409	1039	1496
410	1041	1492
411	1043	1488
412	1044	1484
413	1046	1481
414	1048	1477
415	1049	1473
416	1055	1475
417	1057	1471
418	1058	1468
419	1060	1464
420	1062	1460
421	1063	1457
422	1065	1453
423	1070	1454
424	1072	1450
425	1073	1446
426	1075	1443
427	1077	1439
428	1079	1436
429	1084	1438
430	1088	1437
431	1091	1435
432	1093	1431
433	1095	1428
434	1099	1428
435	1101	1425
436	1103	1421
437	1107	1420
438	1109	1417
439	1110	1413
440	1116	1415
441	1118	1411
442	1120	1408
443	1121	1405
444	1123	1401
445	1125	1397
446	1126	1394
447	1131	1394
448	1133	1390
449	1135	1387
450	1137	1384
451	1140	1382
452	1142	1379
453	1150	1383
454	1152	1379
455	1153	1376
456	1155	1372
457	1156	1369
458	1159	1366
459	1163	1365
460	1165	1362
461	1167	1359
462	1168	1355
463	1170	1352
464	1171	1348
465	1177	1349
466	1180	1347
467	1182	1344
468	1185	1341
469	1187	1338
470	1192	1339
471	1194	1336
472	1198	1335
473	1201	1333
474	1203	1330
475	1210	1332
476	1212	1329
477	1216	1328
478	1218	1325
479	1226	1328
480	1229	1326
481	1232	1324
482	1239	1326
483	1242	1324
484	1245	1322
485	1247	1319
486	1249	1316
487	1251	1312
488	1254	1310
489	1256	1307
490	1258	1304
491	1260	1301
492	1262	1298
493	1270	1301
494	1272	1297
495	1273	1294
496	1275	1290
497	1277	1287
498	1281	1286
499	1284	1284
500	1286	1281
501	1289	1279
502	1291	1276
503	1293	1273
504	1302	1276
505	1304	1273
506	1306	1270
507	1309	1268
508	1315	1269
